Order Date,Customer Name,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode
19-10-2024,Kashvi Varty,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,Debit Card
30-08-2025,Advik Desai,Groceries,Rice,Rice Nemo,1,42165,20,33732,6299.66,Debit Card
04-11-2023,Rhea Kalla,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,Credit Card
23-05-2025,Anika Sen,Groceries,Oil,Oil Doloribus,5,37320,15,158610,36311.02,UPI
19-01-2025,Akarsh Kaul,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,Debit Card
06-04-2025,Vardaniya Jayaraman,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,Credit Card
13-10-2023,Drishya Khare,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,Debit Card
17-08-2025,Misha Dua,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,Debit Card
07-03-2025,Arhaan Vala,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,Credit Card
02-12-2024,Lavanya Hayer,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,UPI
24-08-2025,Divyansh Thaman,Kitchen,Cookware Set,Cookware Set Doloremque,2,10761,20,17217.6,4139.82,Credit Card
21-05-2024,Nishith Kumar,Beauty,Perfume,Perfume Itaque,3,27066,10,73078.2,16216.55,Net Banking
05-12-2024,Anika Khanna,Home Decor,Vase,Vase Ratione,1,53951,5,51253.45,6826.05,Credit Card
03-12-2023,Amani Acharya,Clothing,Women's Wear,Women's Wear Optio,5,23843,0,119215,21029.48,UPI
25-07-2025,Anay Grewal,Kitchen,Juicer,Juicer Debitis,2,15444,5,29343.6,5535.44,COD
13-10-2023,Stuvan Majumdar,Electronics,Laptop,Laptop Numquam,5,51645,10,232402.5,35657.72,Debit Card
24-05-2024,Ritvik Ramanathan,Electronics,Smartwatch,Smartwatch Ad,3,52691,15,134362.05,26225.16,UPI
07-09-2025,Darshit Sharma,Groceries,Oil,Oil Odio,4,3775,10,13590,1234.71,Net Banking
15-06-2024,Sara Chanda,Sports,Dumbbells,Dumbbells Soluta,3,16579,20,39789.6,4240.62,Credit Card
11-01-2024,Gatik Ravi,Books,Textbook,Textbook Inventore,5,36393,5,172866.75,39437.91,Debit Card
15-10-2023,Jivin Sunder,Kitchen,Refrigerator,Refrigerator Commodi,1,6574,20,5259.2,580.75,UPI
16-03-2024,Kashvi Ratti,Groceries,Wheat,Wheat Natus,5,26762,15,113738.5,27267.31,Credit Card
02-11-2023,Vivaan Goyal,Books,Comics,Comics Aperiam,1,47699,20,38159.2,8535.56,UPI
10-07-2025,Nayantara Bhagat,Beauty,Face Cream,Face Cream Repellat,1,28257,10,25431.3,3959.79,Credit Card
21-06-2025,Lakshay Ramakrishnan,Electronics,Headphones,Headphones Itaque,5,24056,20,96224,20551.56,COD
13-01-2024,Dhanush Vaidya,Groceries,Rice,Rice Impedit,2,65756,5,124936.4,19544.76,UPI
22-04-2025,Kimaya Rege,Beauty,Foundation,Foundation Illo,1,8276,0,8276,537.47,Net Banking
12-12-2024,Anika Wable,Furniture,Table,Table Error,3,731,0,2193,214.1,UPI
27-08-2025,Kavya Bhatnagar,Toys,RC Car,RC Car Amet,2,67085,20,107336,22034.77,Net Banking
22-04-2024,Adira Seshadri,Groceries,Sugar,Sugar Excepturi,5,79453,15,337675.25,80309.87,Debit Card
07-01-2025,Zaina Sidhu,Groceries,Wheat,Wheat Consequuntur,2,25545,10,45981,9818.01,Credit Card
11-12-2023,Bhamini Kuruvilla,Sports,Cricket Bat,Cricket Bat Voluptatum,4,76643,5,291243.4,40522.22,UPI
24-06-2024,Kavya Saran,Furniture,Sofa,Sofa Deleniti,4,60561,20,193795.2,21970.55,Net Banking
11-07-2025,Mannat Batta,Toys,RC Car,RC Car Quam,4,19080,20,61056,10008.03,Debit Card
31-12-2023,Shayak Bala,Toys,Action Figure,Action Figure Laboriosam,2,48271,20,77233.6,13625.93,Net Banking
08-03-2025,Hrishita Kumer,Beauty,Lipstick,Lipstick Accusantium,4,7232,15,24588.8,4643.94,Credit Card
02-12-2024,Prisha Gaba,Sports,Dumbbells,Dumbbells Quas,2,78467,0,156934,9444.77,Credit Card
19-10-2023,Arhaan Gole,Sports,Yoga Mat,Yoga Mat Quaerat,4,34124,5,129671.2,8392.19,UPI
30-09-2025,Shaan Bala,Toys,Puzzle,Puzzle Assumenda,2,60907,0,121814,24378.77,COD
16-11-2023,Taran Kala,Kitchen,Refrigerator,Refrigerator Libero,5,9102,10,40959,7785.75,Debit Card
18-09-2024,Nitara Hayre,Toys,Board Game,Board Game Consequuntur,5,76782,20,307128,47122.1,UPI
01-07-2025,Lavanya Tata,Toys,Doll,Doll Laborum,5,57559,5,273405.25,26969.18,Debit Card
11-02-2024,Badal Dada,Electronics,Camera,Camera A,2,68630,0,137260,16783.04,Net Banking
23-10-2024,Bhamini Sane,Groceries,Rice,Rice Incidunt,5,64105,20,256420,61655.17,Net Banking
03-11-2023,Eva Babu,Books,Textbook,Textbook Consequuntur,2,68202,0,136404,33860.63,Debit Card
20-11-2023,Prerak Saha,Books,Biography,Biography Magni,1,36207,15,30775.95,5230.85,COD
01-10-2025,Advik Sule,Beauty,Perfume,Perfume Quisquam,3,55843,10,150776.1,23835.95,Credit Card
03-09-2025,Divij Chawla,Sports,Tennis Racket,Tennis Racket Sapiente,5,60512,5,287432,41217.09,Credit Card
22-01-2025,Nirvaan Ben,Toys,Puzzle,Puzzle Dolorem,1,70834,10,63750.6,4232.48,UPI
28-04-2024,Shlok Dayal,Clothing,Shoes,Shoes Deleniti,1,33485,0,33485,6131.25,COD
04-05-2024,Vritika Cherian,Beauty,Perfume,Perfume Rerum,5,8568,5,40698,3935.7,UPI
06-05-2025,Eshani Arya,Furniture,Sofa,Sofa Omnis,4,64645,5,245651,51927.61,UPI
02-09-2025,Elakshi Bajwa,Books,Biography,Biography Illum,5,12976,0,64880,11967.13,COD
15-04-2024,Jayant Kala,Clothing,Women's Wear,Women's Wear Odio,3,27698,20,66475.2,8946.95,UPI
09-12-2023,Biju Mannan,Sports,Tennis Racket,Tennis Racket Ea,2,28261,15,48043.7,10879.68,Debit Card
19-05-2024,Alisha Sampath,Furniture,Bed,Bed Molestias,5,42462,0,212310,11609.02,Net Banking
05-12-2023,Rhea Krishnamurthy,Home Decor,Wall Art,Wall Art Excepturi,4,62926,0,251704,40267.43,Credit Card
16-10-2024,Samarth Chatterjee,Toys,Puzzle,Puzzle Ut,4,73473,15,249808.2,56964.33,Net Banking
09-10-2024,Ojas Konda,Furniture,Cabinet,Cabinet Odit,3,29226,15,74526.3,17899.47,Net Banking
16-05-2025,Heer Saran,Home Decor,Vase,Vase Necessitatibus,2,9860,10,17748,4403.6,Credit Card
30-04-2025,Manikya Dar,Sports,Football,Football Eveniet,5,17665,0,88325,17529.47,UPI
09-04-2024,Azad Kunda,Kitchen,Cookware Set,Cookware Set Nisi,2,13751,15,23376.7,5552.74,Debit Card
26-01-2025,Drishya Apte,Kitchen,Juicer,Juicer Totam,5,11226,10,50517,2567.28,Debit Card
27-12-2023,Shray Arya,Toys,Action Figure,Action Figure Cum,4,70618,5,268348.4,50743.1,COD
23-06-2024,Ritvik Madan,Books,Biography,Biography Nobis,3,37492,15,95604.6,19263.79,UPI
22-06-2024,Purab Batta,Kitchen,Juicer,Juicer Vero,2,34997,0,69994,11129.92,COD
28-05-2025,Purab Krishna,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,2,71572,10,128829.6,14012.66,Credit Card
23-02-2024,Manikya Srinivasan,Books,Biography,Biography Ad,5,38936,5,184946,30144.65,COD
24-11-2023,Raghav Gara,Home Decor,Vase,Vase Molestiae,1,19506,0,19506,2911.1,Net Banking
02-01-2025,Raghav Sabharwal,Sports,Tennis Racket,Tennis Racket At,5,48227,10,217021.5,52730.72,UPI
31-08-2024,Tanya Vora,Sports,Tennis Racket,Tennis Racket Ipsa,3,2697,5,7686.45,387.48,Net Banking
18-06-2025,Mannat Dhaliwal,Toys,RC Car,RC Car Eius,4,47678,20,152569.6,13719.94,Debit Card
01-04-2025,Drishya Korpal,Home Decor,Cushion,Cushion Quis,1,39545,15,33613.25,4294.42,COD
14-03-2024,Vritika Gade,Toys,Puzzle,Puzzle Nesciunt,5,60787,15,258344.75,33333.56,Credit Card
09-12-2024,Neysa Ganguly,Toys,Action Figure,Action Figure Placeat,1,26035,20,20828,2957.26,Net Banking
17-01-2025,Adah Kaul,Clothing,Kids Wear,Kids Wear Aut,5,41865,10,188392.5,36655.65,COD
04-03-2025,Shalv Subramaniam,Kitchen,Cookware Set,Cookware Set Libero,4,76576,10,275673.6,39540.52,Net Banking
10-04-2024,Chirag Hans,Electronics,Camera,Camera Nostrum,2,33749,20,53998.4,6954.99,COD
05-07-2024,Saanvi Deshmukh,Kitchen,Refrigerator,Refrigerator Sequi,4,46014,15,156447.6,8166.96,UPI
17-02-2025,Yakshit Bajwa,Beauty,Lipstick,Lipstick At,5,55423,10,249403.5,15673.19,Debit Card
05-12-2023,Jayan Lall,Furniture,Cabinet,Cabinet Nobis,5,5463,5,25949.25,1306.37,Debit Card
13-12-2024,Kashvi Bakshi,Sports,Yoga Mat,Yoga Mat Deserunt,1,4714,0,4714,547.63,COD
20-06-2025,Myra Goda,Sports,Tennis Racket,Tennis Racket Cupiditate,4,31170,10,112212,22964.29,Debit Card
20-07-2024,Jayesh Ramachandran,Home Decor,Vase,Vase Similique,1,8927,20,7141.6,1373.47,COD
01-11-2024,Hazel Reddy,Furniture,Cabinet,Cabinet Natus,1,16256,5,15443.2,1764.79,Credit Card
02-06-2025,Shamik Keer,Toys,Board Game,Board Game Sequi,2,22240,0,44480,8602.03,UPI
29-03-2024,Saira Trivedi,Groceries,Oil,Oil Modi,3,62172,0,186516,23035.44,Debit Card
15-11-2023,Baiju Dube,Sports,Tennis Racket,Tennis Racket Aperiam,5,39458,5,187425.5,44132.79,COD
25-12-2024,Ehsaan Butala,Books,Comics,Comics Voluptatibus,4,34376,5,130628.8,15353.38,Net Banking
26-02-2025,Bhavin Toor,Clothing,Kids Wear,Kids Wear Ipsa,4,53084,15,180485.6,19220.42,Credit Card
08-06-2025,Romil Sawhney,Beauty,Lipstick,Lipstick Nostrum,3,60656,0,181968,26322.7,Debit Card
29-01-2025,Mamooty Mannan,Electronics,Camera,Camera Ipsa,1,73564,15,62529.4,13309.3,Credit Card
11-01-2025,Reyansh Saraf,Furniture,Sofa,Sofa Quaerat,5,26060,5,123785,24340.25,UPI
08-01-2025,Jayesh Madan,Beauty,Perfume,Perfume Qui,4,72702,5,276267.6,35015.76,Debit Card
12-01-2024,Kiaan Ranganathan,Electronics,Camera,Camera Temporibus,2,40818,20,65308.8,5824.16,UPI
31-05-2024,Riya Varughese,Groceries,Spices,Spices Reiciendis,3,24183,0,72549,17203.3,Credit Card
17-10-2024,Yasmin Warrior,Groceries,Oil,Oil Non,4,19526,15,66388.4,12866.73,Credit Card
26-11-2023,Vihaan Bhalla,Books,Fiction,Fiction Nemo,5,54037,0,270185,58810.96,Net Banking
12-02-2024,Eshani Sani,Sports,Yoga Mat,Yoga Mat Optio,5,63813,0,319065,36797.04,Credit Card
24-12-2023,Arnav Badami,Electronics,Mobile,Mobile Harum,3,74680,10,201636,41541.42,Credit Card
16-06-2025,Umang Virk,Clothing,Accessories,Accessories Natus,4,13189,10,47480.4,10986.33,Net Banking
04-11-2024,Ira Soni,Sports,Dumbbells,Dumbbells Quos,4,1138,10,4096.8,888.13,Credit Card
14-08-2025,Arnav Karpe,Furniture,Sofa,Sofa Repudiandae,5,76226,20,304904,22939.07,Credit Card
10-02-2025,Hansh Kaul,Toys,Doll,Doll Totam,3,31343,15,79924.65,18762.37,Net Banking
17-11-2023,Ela Srivastava,Home Decor,Lamp,Lamp Pariatur,4,61338,15,208549.2,40557.88,Net Banking
19-05-2024,Elakshi Sachdev,Furniture,Table,Table Laudantium,1,8623,20,6898.4,677.28,Debit Card
27-10-2024,Emir Ramanathan,Sports,Dumbbells,Dumbbells Aspernatur,3,41142,5,117254.7,7179.82,Net Banking
08-06-2024,Prisha Shenoy,Clothing,Kids Wear,Kids Wear Architecto,5,13088,10,58896,11457.13,Debit Card
07-09-2024,Parinaaz Luthra,Furniture,Bed,Bed Officiis,1,44965,10,40468.5,3617.94,Debit Card
05-01-2025,Aarna Bandi,Toys,RC Car,RC Car Incidunt,4,28822,10,103759.2,25441.67,Net Banking
22-10-2024,Rasha Bansal,Electronics,Camera,Camera Dignissimos,2,30299,10,54538.2,10554.74,Credit Card
12-04-2024,Alisha Amble,Kitchen,Microwave,Microwave Vero,2,44595,20,71352,5019.37,Net Banking
04-10-2023,Aniruddh Ratti,Furniture,Table,Table Repudiandae,3,32301,20,77522.4,10882.22,Net Banking
30-11-2023,Ishita Bajwa,Home Decor,Cushion,Cushion Dignissimos,3,78217,0,234651,18949.32,COD
23-11-2024,Farhan Sarkar,Toys,Board Game,Board Game Earum,5,19154,15,81404.5,8267.53,COD
15-05-2025,Aniruddh Kothari,Kitchen,Juicer,Juicer In,4,25790,20,82528,4856.22,Debit Card
10-05-2024,Samar Kumar,Beauty,Lipstick,Lipstick Soluta,3,78010,10,210627,20117.45,UPI
30-01-2025,Ishaan Golla,Kitchen,Microwave,Microwave Aperiam,4,8753,5,33261.4,4190.2,UPI
26-09-2024,Aniruddh Wagle,Kitchen,Microwave,Microwave Reiciendis,5,49477,20,197908,38220.91,Credit Card
10-01-2025,Nishith Tara,Sports,Yoga Mat,Yoga Mat Vel,1,54160,15,46036,9505.54,COD
16-05-2025,Yakshit Bakshi,Sports,Football,Football Eum,2,58592,5,111324.8,9680.25,Debit Card
25-04-2025,Navya Amble,Electronics,Laptop,Laptop Amet,1,6284,0,6284,888.46,Debit Card
23-06-2025,Heer Lata,Groceries,Spices,Spices Non,4,79276,20,253683.2,28531.58,UPI
02-12-2024,Jiya Tandon,Clothing,Shoes,Shoes Recusandae,3,22072,20,52972.8,2832.75,Net Banking
22-11-2024,Divyansh Kale,Kitchen,Juicer,Juicer Deleniti,1,61175,15,51998.75,10749.96,Debit Card
03-06-2024,Raunak Raj,Books,Fiction,Fiction Necessitatibus,3,53034,15,135236.7,16863.94,Net Banking
09-02-2025,Mehul Magar,Groceries,Oil,Oil Laboriosam,3,20304,10,54820.8,8867.14,UPI
12-11-2024,Gatik Sharma,Home Decor,Cushion,Cushion Id,3,19607,0,58821,9062.46,UPI
31-07-2025,Dhanuk Dhar,Furniture,Table,Table Placeat,1,26827,10,24144.3,4041.1,Credit Card
07-03-2024,Kavya Varty,Groceries,Spices,Spices Error,5,31262,15,132863.5,12796.17,Credit Card
03-07-2024,Ishaan Walia,Electronics,Headphones,Headphones Id,4,61765,5,234707,30160.38,Net Banking
22-08-2024,Oorja Sur,Clothing,Women's Wear,Women's Wear Ipsa,4,2962,20,9478.4,583.27,Credit Card
01-08-2024,Dharmajan Lall,Toys,Puzzle,Puzzle Placeat,3,17679,15,45081.45,2373.83,UPI
23-01-2024,Shanaya Kala,Furniture,Sofa,Sofa Nulla,1,79310,15,67413.5,6655.67,UPI
06-08-2024,Rati Goel,Electronics,Camera,Camera Culpa,4,33270,5,126426,12467.79,Debit Card
24-03-2024,Ivan Sarna,Toys,Doll,Doll Adipisci,3,35928,5,102394.8,10207.76,Debit Card
26-03-2025,Akarsh Hayre,Toys,Board Game,Board Game Animi,1,62438,5,59316.1,4810.78,UPI
18-10-2024,Hrishita Bajaj,Furniture,Bed,Bed Accusantium,4,41162,0,164648,22384,Debit Card
15-01-2025,Prerak Shere,Electronics,Mobile,Mobile Aspernatur,4,78576,5,298588.8,66122.26,Credit Card
13-08-2025,Kartik Seth,Books,Non-Fiction,Non-Fiction Quae,3,38456,5,109599.6,26199.38,Debit Card
29-09-2024,Riya Brahmbhatt,Clothing,Kids Wear,Kids Wear Tempora,1,51518,10,46366.2,11129.47,UPI
05-12-2023,Yuvraj  Bhardwaj,Electronics,Mobile,Mobile Ea,3,25964,0,77892,7594.54,COD
20-04-2024,Shamik Buch,Furniture,Cabinet,Cabinet Voluptatum,5,38240,5,181640,26909.05,Debit Card
02-04-2024,Divij Dara,Sports,Tennis Racket,Tennis Racket Asperiores,2,40778,0,81556,19814.83,COD
14-08-2024,Jivin Hans,Sports,Football,Football Dolores,5,22147,5,105198.25,7812.18,UPI
13-11-2024,Vaibhav Rattan,Furniture,Table,Table Tenetur,1,48776,15,41459.6,9356.05,UPI
01-01-2024,Nayantara Kalita,Electronics,Smartwatch,Smartwatch Eum,2,74802,15,127163.4,8863.77,Net Banking
14-01-2024,Shaan Sehgal,Kitchen,Mixer Grinder,Mixer Grinder Porro,1,77440,20,61952,5189.49,UPI
14-06-2024,Dhruv Garg,Kitchen,Juicer,Juicer Reiciendis,1,42881,5,40736.95,3037.21,Net Banking
04-03-2024,Kavya Lanka,Books,Non-Fiction,Non-Fiction Commodi,4,11205,10,40338,6759.61,UPI
24-08-2025,Fateh Tripathi,Toys,Puzzle,Puzzle Repellendus,4,67259,5,255584.2,24050.17,UPI
25-08-2025,Manikya Bhattacharyya,Groceries,Spices,Spices Suscipit,3,21886,10,59092.2,14240.48,Net Banking
